,n_sim,n_p,n_p_f
0,0,2,2
1,0,3,1
2,0,5,1
3,0,6,2
4,1,2,1
5,1,3,1
6,1,5,1
7,1,6,1
8,2,2,1
9,2,3,1
10,2,5,1
11,2,6,1
12,3,2,2
13,3,3,2
14,3,5,1
15,3,6,1
16,4,2,2
17,4,3,1
18,4,5,1
19,4,6,1
20,5,2,1
21,5,3,2
22,5,5,1
23,5,6,1
24,6,2,1
25,6,3,1
26,6,5,1
27,6,6,1
28,7,2,1
29,7,3,1
30,7,5,2
31,7,6,2
32,8,2,1
33,8,3,2
34,8,5,1
35,8,6,1
36,9,2,1
37,9,3,2
38,9,5,1
39,9,6,1
40,10,2,2
41,10,3,2
42,10,5,2
43,10,6,2
44,11,2,2
45,11,3,1
46,11,5,1
47,11,6,1
48,12,2,1
49,12,3,1
50,12,5,2
51,12,6,2
52,13,2,1
53,13,3,1
54,13,5,1
55,13,6,1
56,14,2,1
57,14,3,1
58,14,5,1
59,14,6,2
60,15,2,2
61,15,3,2
62,15,5,2
63,15,6,2
64,16,2,1
65,16,3,2
66,16,5,1
67,16,6,2
68,17,2,1
69,17,3,2
70,17,5,1
71,17,6,2
72,18,2,1
73,18,3,1
74,18,5,2
75,18,6,1
76,19,2,2
77,19,3,1
78,19,5,2
79,19,6,1
80,20,2,1
81,20,3,1
82,20,5,1
83,20,6,2
84,21,2,2
85,21,3,2
86,21,5,1
87,21,6,1
88,22,2,2
89,22,3,1
90,22,5,1
91,22,6,1
92,23,2,1
93,23,3,1
94,23,5,1
95,23,6,1
96,24,2,1
97,24,3,1
98,24,5,2
99,24,6,1
100,25,2,1
101,25,3,1
102,25,5,1
103,25,6,2
104,26,2,1
105,26,3,2
106,26,5,1
107,26,6,2
108,27,2,1
109,27,3,2
110,27,5,1
111,27,6,1
112,28,2,1
113,28,3,2
114,28,5,2
115,28,6,1
116,29,2,1
117,29,3,1
118,29,5,1
119,29,6,1
120,30,2,1
121,30,3,1
122,30,5,2
123,30,6,1
124,31,2,1
125,31,3,1
126,31,5,1
127,31,6,1
128,32,2,1
129,32,3,2
130,32,5,1
131,32,6,2
132,33,2,1
133,33,3,2
134,33,5,2
135,33,6,1
136,34,2,1
137,34,3,2
138,34,5,1
139,34,6,1
140,35,2,1
141,35,3,1
142,35,5,1
143,35,6,1
144,36,2,2
145,36,3,1
146,36,5,2
147,36,6,1
148,37,2,2
149,37,3,2
150,37,5,2
151,37,6,1
152,38,2,1
153,38,3,1
154,38,5,1
155,38,6,1
156,39,2,1
157,39,3,1
158,39,5,1
159,39,6,1
160,40,2,2
161,40,3,1
162,40,5,2
163,40,6,1
164,41,2,2
165,41,3,2
166,41,5,1
167,41,6,1
168,42,2,1
169,42,3,1
170,42,5,2
171,42,6,2
172,43,2,1
173,43,3,1
174,43,5,1
175,43,6,1
176,44,2,1
177,44,3,1
178,44,5,1
179,44,6,2
180,45,2,1
181,45,3,1
182,45,5,1
183,45,6,1
184,46,2,1
185,46,3,1
186,46,5,1
187,46,6,1
188,47,2,1
189,47,3,2
